name,mode,timer,pin,x,y,z,qx,qy,qz,qw
WP1,A,0,D,6.012703895568848,-2.0230436325073242,0.0,0.0,0.0,-0.6977741762689252,0.7163178058182156
WP2,A,0,D,5.994203567504883,-21.66493034362793,0.0,0.0,0.0,-0.005858708183964227,0.999982837621934
WP3,A,0,D,14.029155731201172,-21.686918258666992,0.0,0.0,0.0,0.0009203230594298328,0.9999995765026435
WP4,A,0,D,31.331844329833984,-21.70952033996582,0.0,0.0,0.0,0.0009203230594298328,0.9999995765026435
WP5,A,0,D,44.9857063293457,-21.71879005432129,0.0,0.0,0.0,0.0009203230594298328,0.9999995765026435
WP6,A,0,D,48.52715759277344,-21.696184158325195,0.0,0.0,0.0,0.0009203230594298328,0.9999995765026435
WP7,A,0,D,50.56987380981445,-21.399343872070312,0.0,0.0,0.0,-0.0006422036235232304,0.9999997937872317
WP8,A,0,D,57.504737854003906,-21.286583251953125,0.0,0.0,0.0,0.002920513080550697,0.9999957352925793
WP9,A,0,D,69.55437469482422,-21.5851375579834,0.0,0.0,0.0,-0.7064556234090862,0.7077573398797637
WP10,A,0,D,69.64317321777344,-24.988162994384766,0.0,0.0,0.0,-0.9307293193442161,0.36570881054884663
WP11,A,0,D,67.03221130371094,-26.434967041015625,0.0,0.0,0.0,-0.9999995763487209,0.0009204902925321457
WP12,A,0,D,62.4375,-26.695140075683594,0.0,0.0,0.0,0.9999753903485193,0.007015603846164191
WP13,A,0,D,54.989227294921875,-26.707656860351562,0.0,0.0,0.0,0.9998844354870855,0.015202488963073524
WP14,A,0,D,52.831180572509766,-26.493541717529297,0.0,0.0,0.0,0.999892782287654,0.014643221266310213
WP15,A,0,D,40.46426773071289,-26.491918563842773,0.0,0.0,0.0,0.9999783545506957,0.006579546343252517
WP16,A,0,D,37.274940490722656,-26.633047790527344,0.0,0.0,0.0,-0.9999908094646006,0.004287305253045329
WP17,A,0,D,30.09795570373535,-26.453573608398438,0.0,0.0,0.0,0.9999783506288029,0.006580142376797409
WP18,A,0,D,23.712961196899414,-26.302486419677734,0.0,0.0,0.0,-0.7050869854500491,0.7091208239425509
