name,mode,timer,pin,x,y,z,qx,qy,qz,qw
Material Room,Auto,1,Up,-0.1,-4.4,0.0,0.0,0.0,0.0,1.0,0
AI PP_02,Auto,1,Up,5.804305515289307,8.466950225830078,0.0,0.0,0.0,0.7,0.7,0
AI PP_06,Auto,1,Up,17.354092025756836,8.666950225830078,0.0,0.0,0.0,0.7,0.7,0
AI PP_07,Auto,1,Up,22.00394577026367,8.666950225830078,0.0,0.0,0.0,0.7,0.70,0
AI PP_09,Auto,1,Up,29.46394577026367,9.206950225830078,0.0,0.0,0.0,0.7,0.70,0
AI AS_01,Auto,1,Up,8.04426155090332,-22.5077392578125,0.0,0.0,0.0,0.7,0.7,0
AI AS_02,Auto,1,Up,16.6305830993652344,-21.00004653930664,0.0,0.0,0.0,0.7,0.7,0
AI AS_03,Auto,1,Up,16.6305830993652344,-21.00004653930664,0.0,0.0,0.0,0.7,0.7,0
AI AS_04,Auto,1,Up,24.50704132080078,-20.90004653930664,0.0,0.0,0.0,0.7,0.7,0
AI AS_05,Auto,1,Up,24.650704132080078,-20.90004653930664,0.0,0.0,0.0,0.7,0.7,0
AI AS_06,Auto,1,Up,32.969805908203125,-20.50004653930664,0.0,0.0,0.0,0.7,0.7,0
AI AS_08,Auto,1,Up,40.36906433105469,-19.0004653930664,0.0,0.0,0.0,0.7,0.7,0
AI AS_10,Auto,1,Up,49.04350280761719,-20.898759460449219,0.0,0.0,0.0,0.7,0.7,0
